transition,emotion_pair,delta_drift,theta_drift,alpha_drift,beta_drift,gamma_drift,preproc
1->2,Disgust->Fear,0.010554056117995664,0.008465198799389128,0.003227888792501691,0.013406450296490229,0.009713601527440713,amplitude
1->2,Disgust->Sad,0.006422386177550458,0.008092083383344315,0.00719339871349864,0.010139368834001475,0.005231590739918881,amplitude
1->2,Disgust->Neutral,0.015930466986651903,0.00858001938318313,0.007191190423729463,0.007434067024698567,0.0067299227914872405,amplitude
1->2,Disgust->Happy,0.014677405378772053,0.006220704774744743,0.00394375823411841,0.01465088953523859,0.011340217538570903,amplitude
1->2,Fear->Disgust,0.011002882134006697,0.003505596158602192,0.0059734906162592595,0.01715617825603261,0.011136146496701535,amplitude
1->2,Fear->Fear,0.01217891564499777,0.0028423434810748234,0.007107877927947857,0.015454104647357733,0.008763360722611146,amplitude
1->2,Fear->Sad,0.008968332035907694,0.0027614413995653638,0.011657845418522184,0.013551737310381031,0.005201218617993053,amplitude
1->2,Fear->Neutral,0.013611991497603802,0.003897673714018335,0.011495806971120308,0.011061405295872346,0.007826435571247004,amplitude
1->2,Fear->Happy,0.01979485934430998,0.006253338576677107,0.008003921610215117,0.016546603268518055,0.009516159052858335,amplitude
1->2,Sad->Disgust,0.01959067092750454,0.008118784011933321,0.0026320200035833885,0.02266941079678021,0.020402411481323775,amplitude
1->2,Sad->Fear,0.021761073424414516,0.009429370858754645,0.0034305978846090102,0.020822129927448054,0.017943653300317643,amplitude
1->2,Sad->Sad,0.014006612923083661,0.009020684549933895,0.0040120002166988715,0.017293083769491905,0.008403182334564805,amplitude
1->2,Sad->Neutral,0.007144378205527323,0.00950116597620633,0.0040945788341256424,0.009273829935651927,0.0054248587871876764,amplitude
1->2,Sad->Happy,0.023119573997096413,0.008449577224643604,0.0030084093271559877,0.02141488242192787,0.018935145560976894,amplitude
1->2,Neutral->Disgust,0.024776988874693488,0.00453368936248206,0.002737304170017713,0.027489145507100726,0.02111615745381316,amplitude
1->2,Neutral->Fear,0.026776498510134097,0.0035471031388671402,0.0037628383886180493,0.02564186463776857,0.018657399272807032,amplitude
1->2,Neutral->Sad,0.019552913265799523,0.0028422032872157327,0.00613976426505049,0.02211281847981242,0.00914082175905147,amplitude
1->2,Neutral->Neutral,0.007098816666997152,0.0036663951779355064,0.005964997333143838,0.0129506300278697,0.00500353863825468,amplitude
1->2,Neutral->Happy,0.028958201603474287,0.007826667251606237,0.003863105175552144,0.026234617132248398,0.019455389898993456,amplitude
1->2,Happy->Disgust,0.00981540633013051,0.004895015068047942,0.003212573413879211,0.01158093392122082,0.0072989126905296485,amplitude
1->2,Happy->Fear,0.010762170410244395,0.006627762039975853,0.004293095975473954,0.009530722527189419,0.006771534170884376,amplitude
1->2,Happy->Sad,0.007638601104915778,0.006334296948616401,0.006632596190498099,0.008312369943775154,0.007435354565003748,amplitude
1->2,Happy->Neutral,0.018950745807349467,0.006425007229577682,0.006429378686179411,0.008482962195193615,0.010887082143151974,amplitude
1->2,Happy->Happy,0.010041863951968252,0.0030647851944480267,0.0028274273141603613,0.010925586371994528,0.006037791535217609,amplitude
1->3,Disgust->Disgust,0.013058374815643644,0.007425592305433803,0.003796745178861647,0.013904322397037098,0.01116617208737932,amplitude
1->3,Disgust->Fear,0.011855763328437841,0.012283213334187068,0.0072057523814894955,0.0089944798168161,0.008390139079850414,amplitude
1->3,Disgust->Sad,0.01184810234493053,0.006780739156155276,0.008695910147692195,0.009082086148405307,0.0069822723017767116,amplitude
1->3,Disgust->Neutral,0.016442134987992,0.006863269183169907,0.006453210392987386,0.009324440841000425,0.007605911831897269,amplitude
1->3,Disgust->Happy,0.014100014087917927,0.006801751882183014,0.002769393261135221,0.016135159356508673,0.01632169705515582,amplitude
1->3,Fear->Disgust,0.008328142763318657,0.0033783866442065476,0.004497698766787217,0.014760825756407987,0.010448584541556142,amplitude
1->3,Fear->Fear,0.007529699366152526,0.0054184644451422855,0.011637101891797154,0.008264533298118474,0.006374116368874217,amplitude
1->3,Fear->Sad,0.0084356319967643,0.0036389955447818354,0.01288673230646418,0.010380858226806147,0.005742052458943494,amplitude
1->3,Fear->Neutral,0.013628645192536076,0.0029815756662926094,0.010700917159977463,0.012135733727393976,0.007519339817172165,amplitude
1->3,Fear->Happy,0.01386352382186668,0.005657316307569801,0.006045985839058904,0.015716177874877772,0.013919178880014477,amplitude
1->3,Sad->Disgust,0.015902322652978963,0.008064572391693182,0.0050669131528117885,0.02027335636661919,0.019440946306838954,amplitude
1->3,Sad->Fear,0.015372256287274592,0.013171097918753266,0.005495384499521848,0.01294758308721007,0.01435431205534203,amplitude
1->3,Sad->Sad,0.009790305360737502,0.007180461311194013,0.00547759638789416,0.013170676092327431,0.007088247524012889,amplitude
1->3,Sad->Neutral,0.008469038903851636,0.007792749913316564,0.00371417368457166,0.011564223747586045,0.007145456719503063,amplitude
1->3,Sad->Happy,0.0195713187929313,0.008277867564224262,0.0029799705406031492,0.02098885249111696,0.023276215302472723,amplitude
1->3,Neutral->Disgust,0.019971389099999282,0.005101988684951767,0.004292079764401041,0.025093091076939703,0.020154692279328333,amplitude
1->3,Neutral->Fear,0.018416274861001673,0.00523310260740965,0.007159768042631495,0.01661807067205811,0.014776217965939715,amplitude
1->3,Neutral->Sad,0.012706637437656956,0.004839599476531505,0.007391680260876582,0.01771421482794113,0.007375351967575837,amplitude
1->3,Neutral->Neutral,0.008924376582916957,0.0036528266033520945,0.005257433448681844,0.014553682617871374,0.006451142830966207,amplitude
1->3,Neutral->Happy,0.024482871962294754,0.007624153104369725,0.0032668631497958732,0.025688972254153963,0.023602336437645442,amplitude
1->3,Happy->Disgust,0.013059224793038745,0.006517741209774154,0.005649738149459171,0.009491591717459013,0.0069929271567071615,amplitude
1->3,Happy->Fear,0.011211033020946221,0.00982230222551694,0.0070073459703278536,0.005219597955419943,0.005753847936754596,amplitude
1->3,Happy->Sad,0.014103072722324876,0.007589318204432925,0.008366135361312614,0.006402684249483359,0.009266342149053128,amplitude
1->3,Happy->Neutral,0.019437526924458094,0.005177202395701771,0.006039438023345523,0.009038068271645642,0.010810881604160685,amplitude
1->3,Happy->Happy,0.008410197796082652,0.004106402273149826,0.0028111276491258274,0.010096775835977213,0.010400307146602514,amplitude
