subject,enroll_emotion_id,test_emotion_id,enroll_emotion,test_emotion,n_enroll,n_test,within_sim,cross_sim,drift_index
4,2,2,Sad,Sad,1202,676,0.9478797912597656,0.952153742313385,-0.00450897216796875
4,2,3,Sad,Neutral,1202,525,0.9478797912597656,0.9468307495117188,0.0011067390441894531
4,2,4,Sad,Happy,1202,489,0.9478797912597656,0.9450930953025818,0.002939939498901367
4,3,0,Neutral,Disgust,913,428,0.9482349157333374,0.8935325145721436,0.05768865346908569
4,3,1,Neutral,Fear,913,550,0.9482349157333374,0.9257155656814575,0.023748695850372314
4,3,2,Neutral,Sad,913,676,0.9482349157333374,0.9513229727745056,-0.003256678581237793
4,3,3,Neutral,Neutral,913,525,0.9482349157333374,0.9456238746643066,0.0027535557746887207
4,3,4,Neutral,Happy,913,489,0.9482349157333374,0.9440554976463318,0.0044075846672058105
4,4,0,Happy,Disgust,697,428,0.9478362798690796,0.8971495628356934,0.05347621440887451
4,4,1,Happy,Fear,697,550,0.9478362798690796,0.9279122352600098,0.02102053165435791
4,4,2,Happy,Sad,697,676,0.9478362798690796,0.9527090787887573,-0.005141019821166992
4,4,3,Happy,Neutral,697,525,0.9478362798690796,0.9473285675048828,0.0005356669425964355
4,4,4,Happy,Happy,697,489,0.9478362798690796,0.9461207389831543,0.0018099546432495117
5,0,0,Disgust,Disgust,764,428,0.9490566849708557,0.8145700097084045,0.14170563220977783
5,0,1,Disgust,Fear,764,550,0.9490566849708557,0.840813398361206,0.11405354738235474
5,0,2,Disgust,Sad,764,676,0.9490566849708557,0.809761643409729,0.1467720866203308
5,0,3,Disgust,Neutral,764,525,0.9490566849708557,0.8859409093856812,0.06650370359420776
5,0,4,Disgust,Happy,764,489,0.9490566849708557,0.7908696532249451,0.16667819023132324
5,1,0,Fear,Disgust,887,428,0.9496233463287354,0.8143717646598816,0.14242655038833618
5,1,1,Fear,Fear,887,550,0.9496233463287354,0.8402971625328064,0.11512583494186401
5,1,2,Fear,Sad,887,676,0.9496233463287354,0.8100454211235046,0.14698243141174316
5,1,3,Fear,Neutral,887,525,0.9496233463287354,0.8851126432418823,0.06793296337127686
5,1,4,Fear,Happy,887,489,0.9496233463287354,0.7914035320281982,0.16661322116851807
5,2,0,Sad,Disgust,1167,428,0.9488987922668457,0.8150879144668579,0.14101701974868774
