subject,session_changed,emotion_changed,EER
8,0,1,0.17011494252873566
9,0,1,0.031868131868131866
10,0,1,0.21535580524344566
11,0,1,0.17921568627450982
12,0,1,0.022448979591836747
13,0,1,0.35897435897435903
14,0,1,0.07333333333333333
15,0,1,0.3487972508591065
16,0,1,0.27355072463768115
1,0,0,0.17543859649122806
2,0,0,0.20944881889763778
3,0,0,0.1152777777777778
4,0,0,0.07913279132791329
5,0,0,0.1672514619883041
6,0,0,0.2090909090909091
7,0,0,0.20384615384615382
8,0,0,0.13800623052959504
9,0,0,0.05545722713864305
10,0,0,0.2180428134556575
11,0,0,0.11228070175438598
12,0,0,0.12389937106918238
13,0,0,0.27251461988304093
14,0,0,0.0414565826330532
15,0,0,0.1997101449275362
16,0,0,0.10574712643678161
1,0,1,0.18659420289855075
2,0,1,0.2854406130268199
3,0,1,0.20151515151515154
4,0,1,0.1181818181818182
5,0,1,0.12111111111111111
6,0,1,0.34609929078014184
7,0,1,0.14701754385964913
8,0,1,0.1897163120567376
9,0,1,0.08160919540229886
10,0,1,0.26410256410256405
11,0,1,0.184981684981685
12,0,1,0.03218390804597699
13,0,1,0.33163265306122447
14,0,1,0.07529411764705884
15,0,1,0.3746527777777778
16,0,1,0.10622710622710625
1,0,1,0.18558558558558558
2,0,1,0.21171171171171171
3,0,1,0.3218637992831541
4,0,1,0.16431372549019607
5,0,1,0.1321285140562249
6,0,1,0.29696969696969694
7,0,1,0.15215686274509804
8,0,1,0.31606425702811247
9,0,1,0.15515873015873016
10,0,1,0.1585365853658537
11,0,1,0.1780392156862745
12,0,1,0.05185185185185185
13,0,1,0.34936708860759497
14,0,1,0.0215277777777778
15,0,1,0.24333333333333335
16,0,1,0.2333333333333333
1,1,1,0.2378472222222222
2,1,1,0.16161048689138574
3,1,1,0.2592592592592593
4,1,1,0.12168458781362007
5,1,1,0.36589147286821705
6,1,1,0.18836805555555555
7,1,1,0.7168724279835391
8,1,1,0.14647058823529413
9,1,1,0.09844961240310075
10,1,1,0.37722222222222224
11,1,1,0.27524950099800394
12,1,1,0.09947643979057594
13,1,1,0.3499047619047619
14,1,1,0.06718213058419242
15,1,1,0.2142342342342342
16,1,1,0.17314814814814816
1,1,1,0.22183908045977013
2,1,1,0.212987012987013
3,1,1,0.22172995780590715
4,1,1,0.07414141414141415
5,1,1,0.19081836327345308
6,1,1,0.29852320675105487
7,1,1,0.7178649237472767
8,1,1,0.1580712788259958
9,1,1,0.10482456140350876
10,1,1,0.278968253968254
11,1,1,0.25064102564102564
12,1,1,0.05042735042735044
13,1,1,0.34277108433734943
14,1,1,0.07741935483870967
15,1,1,0.2781065088757396
16,1,1,0.221010101010101
1,1,0,0.22522123893805313
2,1,0,0.15431145431145432
3,1,0,0.18360433604336046
4,1,0,0.08771121351766512
5,1,0,0.23275862068965514
6,1,0,0.1573049645390071
7,1,0,0.6654993514915695
8,1,0,0.11248339973439575
9,1,0,0.11805555555555555
10,1,0,0.3323404255319149
11,1,0,0.3031420765027323
12,1,0,0.07586726998491702
13,1,0,0.3336182336182336
14,1,0,0.0336194563662375
15,1,0,0.2559577677224736
16,1,0,0.18515406162464987
1,1,1,0.22138047138047137
2,1,1,0.24153577661431067
3,1,1,0.26960784313725494
4,1,1,0.12683333333333333
5,1,1,0.17755102040816328
6,1,1,0.3039855072463768
7,1,1,0.6358208955223881
8,1,1,0.13686868686868686
9,1,1,0.13459459459459455
10,1,1,0.3800970873786408
11,1,1,0.23649289099526066
12,1,1,0.06468646864686467
13,1,1,0.4035087719298246
14,1,1,0.0576530612244898
15,1,1,0.35297906602254425
16,1,1,0.1625850340136054
1,1,1,0.24454545454545457
2,1,1,0.15423728813559323
3,1,1,0.25936739659367397
4,1,1,0.09924242424242426
5,1,1,0.1649122807017544
6,1,1,0.23740458015267174
7,1,1,0.7561679790026247
8,1,1,0.1387978142076503
9,1,1,0.1984251968503937
10,1,1,0.3918918918918919
11,1,1,0.2931693989071038
12,1,1,0.07538461538461536
13,1,1,0.3481481481481482
14,1,1,0.05437158469945352
15,1,1,0.2423728813559322
16,1,1,0.23195592286501376
1,1,1,0.2709832134292566
2,1,1,0.3714646464646465
3,1,1,0.2486215538847118
4,1,1,0.13798449612403102
5,1,1,0.2367396593673966
6,1,1,0.2144208037825059
7,1,1,0.588515406162465
8,1,1,0.28442822384428224
9,1,1,0.06617283950617284
10,1,1,0.4358974358974359
11,1,1,0.23613231552162847
12,1,1,0.09338235294117647
13,1,1,0.34111111111111114
14,1,1,0.13802083333333331
15,1,1,0.20692307692307693
16,1,1,0.2564102564102564
1,1,1,0.22147766323024054
2,1,1,0.41276948590381424
3,1,1,0.23661740558292285
4,1,1,0.15929487179487178
5,1,1,0.17866043613707167
6,1,1,0.20049019607843135
7,1,1,0.6417508417508417
8,1,1,0.20408805031446542
9,1,1,0.0818181818181818
10,1,1,0.29386401326699835
11,1,1,0.2257142857142857
12,1,1,0.08104906937394248
13,1,1,0.34735973597359737
14,1,1,0.14538341158059467
15,1,1,0.28981937602627256
16,1,1,0.24137931034482762
1,1,0,0.213254593175853
2,1,0,0.2539491298527443
3,1,0,0.31257062146892656
4,1,0,0.13431372549019605
5,1,0,0.1348804500703235
6,1,0,0.17796610169491522
7,1,0,0.5727941176470588
8,1,0,0.1789972899728997
9,1,0,0.12531120331950207
10,1,0,0.41142473118279566
11,1,0,0.26306306306306304
12,1,0,0.04065040650406504
13,1,0,0.3156545209176788
14,1,0,0.24453227931488802
15,1,0,0.2881806108897742
16,1,0,0.14598155467720686
1,1,1,0.2614770459081836
2,1,1,0.27202380952380956
3,1,1,0.3468686868686869
4,1,1,0.1931818181818182
5,1,1,0.11734892787524366
6,1,1,0.17341772151898735
7,1,1,0.5804166666666667
8,1,1,0.17467532467532468
9,1,1,0.14142011834319523
10,1,1,0.3940329218106996
