transition,emotion_pair,theta_stored,EER,theta_filter,theta_ica,theta_ica_asr
1->3,Neutral->Disgust,0.0008679061207387345,0.08279984423676008,0.0008678265383148236,0.0010411382345660793,0.0010411382345660793
1->3,Neutral->Fear,0.0014508492690990054,0.06704848484848483,0.0014510127880317698,0.0017338580766205422,0.0017338580766205422
1->3,Neutral->Happy,0.0009204517753803136,0.07152692569870481,0.000920478946315726,0.0007369656342541229,0.0007369656342541229
1->3,Neutral->Neutral,0.00043787355034233776,0.06856825396825392,0.0004377414087809471,0.000982347081193356,0.000982347081193356
1->3,Neutral->Sad,0.0007897795761091251,0.08502588757396445,0.0007898358600824807,0.0009196998672426175,0.0009196998672426175
1->3,Sad->Disgust,0.0019360214558626489,0.08213785046728968,0.0019356461207442662,0.0018762611784131204,0.0018762611784131204
1->3,Sad->Fear,0.003224903846119184,0.06601969696969692,0.0032248031616153978,0.002568981020467583,0.002568981020467583
1->3,Sad->Happy,0.001977029289968734,0.07106680299931831,0.001976931629284264,0.0014424522058233919,0.0014424522058233919
1->3,Sad->Neutral,0.001474101039913759,0.06775873015873012,0.001474053421268929,0.0009951512882798656,0.0009951512882798656
1->3,Sad->Sad,0.001648012042730489,0.08454265285996052,0.0016479489365853425,0.0016685927966954897,0.0016685927966954897
