test_session,enroll_emotion,test_emotion,theta_stored,EER,theta_power_drift,theta_filter,theta_ica
3,Fear,Happy,0.002077684672327623,0.07092706203135649,0.0020776846723276,0.0020776812619130525,0.00307566056892808
3,Sad,Disgust,0.0011562884264137766,0.08213785046728968,0.0011562884264137,0.0011563080396237116,0.0021969260542564805
3,Sad,Fear,0.0006990406806358977,0.06601969696969692,0.0006990406806358,0.0006991292427604396,0.000879015006856727
3,Sad,Sad,0.0016766050442432363,0.08454265285996052,0.0016766050442432,0.0016765421300771687,0.0027765868198392648
3,Sad,Neutral,0.0010686858069329029,0.06775873015873012,0.0010686858069329,0.0010688839890506297,0.001057070152767535
3,Sad,Happy,0.0016030499589673821,0.07106680299931831,0.0016030499589672997,0.0016031368203195076,0.00170576255990281
3,Neutral,Disgust,0.001465849504096522,0.08279984423676008,0.0014658495040965,0.00146598379305076,0.002309478838218465
3,Neutral,Fear,0.00027483454794578613,0.06704848484848483,0.0002748345479457,0.00027490817453889595,0.0009915677908187118
3,Neutral,Sad,0.0020767663527900973,0.08502588757396445,0.00207676635279,0.002076855899455646,0.0028891396038012497
3,Neutral,Neutral,0.0005281841825871241,0.06856825396825392,0.0005281841825871,0.0005282599545483081,0.0010648587264031882
3,Neutral,Happy,0.001125797874382918,0.07152692569870481,0.0011257978743829,0.0011257664300501342,0.0018183153438647947
3,Happy,Disgust,0.0013458376495345016,0.08216316199376944,0.0013458376495345,0.0013461394468322393,0.0023646058863960205
3,Happy,Fear,0.0011191669064352203,0.06720909090909086,0.0011191669064352,0.001119090010234642,0.0012288347823500992
3,Happy,Sad,0.001956754498228077,0.08534640039447727,0.001956754498228,0.001957011553237125,0.002944266651978805
3,Happy,Neutral,0.001270784122780674,0.068131746031746,0.0012707841227806,0.0012705980744656357,0.001233646872874704
3,Happy,Happy,0.0007945619357217642,0.071042944785276,0.0007945619357217,0.0007946905580216223,0.0018734423920423507
