enroll_session,test_session,enroll_emotion,test_emotion,transition,region,theta_power_drift,alpha_power_drift,beta_power_drift,gamma_power_drift,total_psd_drift,variant,seed,EER,AUC
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Frontal,0.0006601703131482693,0.0005696218992982584,0.00045187216961667647,0.00023713398591748312,0.0019187983679806874,arcface_supcon_cnn,2,0.0648939393939393,0.985021385158402
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Frontal,0.0006601703131482693,0.0005696218992982584,0.00045187216961667647,0.00023713398591748312,0.0019187983679806874,arcface_supcon_cnn,3,0.0701893939393939,0.9623880914256198
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Frontal,0.0006601703131482693,0.0005696218992982584,0.00045187216961667647,0.00023713398591748312,0.0019187983679806874,arcface_supcon_cnn,4,0.0607954545454545,0.9909151424758952
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Central/Motor,0.0007884191083056581,0.0002605744770595008,0.00023271283134818077,0.000463522255553731,0.0017452286722670707,arcface_supcon_cnn,0,0.0686363636363636,0.96038935821281
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Central/Motor,0.0007884191083056581,0.0002605744770595008,0.00023271283134818077,0.000463522255553731,0.0017452286722670707,arcface_supcon_cnn,1,0.0708863636363636,0.9670181856921488
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Central/Motor,0.0007884191083056581,0.0002605744770595008,0.00023271283134818077,0.000463522255553731,0.0017452286722670707,arcface_supcon_cnn,2,0.0648939393939393,0.985021385158402
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Central/Motor,0.0007884191083056581,0.0002605744770595008,0.00023271283134818077,0.000463522255553731,0.0017452286722670707,arcface_supcon_cnn,3,0.0701893939393939,0.9623880914256198
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Central/Motor,0.0007884191083056581,0.0002605744770595008,0.00023271283134818077,0.000463522255553731,0.0017452286722670707,arcface_supcon_cnn,4,0.0607954545454545,0.9909151424758952
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Temporal,8.653212959567648e-05,0.0003475104458630085,0.0007227671643098201,0.0008047724453111495,0.0019615821850796546,arcface_supcon_cnn,0,0.0686363636363636,0.96038935821281
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Temporal,8.653212959567648e-05,0.0003475104458630085,0.0007227671643098201,0.0008047724453111495,0.0019615821850796546,arcface_supcon_cnn,1,0.0708863636363636,0.9670181856921488
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Temporal,8.653212959567648e-05,0.0003475104458630085,0.0007227671643098201,0.0008047724453111495,0.0019615821850796546,arcface_supcon_cnn,2,0.0648939393939393,0.985021385158402
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Temporal,8.653212959567648e-05,0.0003475104458630085,0.0007227671643098201,0.0008047724453111495,0.0019615821850796546,arcface_supcon_cnn,3,0.0701893939393939,0.9623880914256198
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Temporal,8.653212959567648e-05,0.0003475104458630085,0.0007227671643098201,0.0008047724453111495,0.0019615821850796546,arcface_supcon_cnn,4,0.0607954545454545,0.9909151424758952
