enroll_session,test_session,enroll_emotion,test_emotion,transition,theta_power_drift,alpha_power_drift,beta_power_drift,gamma_power_drift,total_psd_drift,variant,seed,EER,AUC
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Disgust,Fear->Disgust,0.0011095031885252813,0.0017245367258077575,0.0004386303662267022,0.0004037061147668974,0.003676376395326639,arcface_supcon_cnn,2,0.0782320872274143,0.967331642268384
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Disgust,Fear->Disgust,0.0011095031885252813,0.0017245367258077575,0.0004386303662267022,0.0004037061147668974,0.003676376395326639,arcface_supcon_cnn,3,0.0859034267912772,0.9476257038119232
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Disgust,Fear->Disgust,0.0011095031885252813,0.0017245367258077575,0.0004386303662267022,0.0004037061147668974,0.003676376395326639,arcface_supcon_cnn,4,0.0759248442367601,0.9769342566479148
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Fear,Fear->Fear,0.00066842411400839,0.0014306255050801804,0.00037130322820129994,0.00022608348316723636,0.002696436330457107,arcface_supcon_cnn,0,0.068530303030303,0.9610973760330578
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Fear,Fear->Fear,0.00066842411400839,0.0014306255050801804,0.00037130322820129994,0.00022608348316723636,0.002696436330457107,arcface_supcon_cnn,1,0.0685984848484848,0.9681140965048208
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Fear,Fear->Fear,0.00066842411400839,0.0014306255050801804,0.00037130322820129994,0.00022608348316723636,0.002696436330457107,arcface_supcon_cnn,2,0.0635454545454545,0.9856432541322314
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Fear,Fear->Fear,0.00066842411400839,0.0014306255050801804,0.00037130322820129994,0.00022608348316723636,0.002696436330457107,arcface_supcon_cnn,3,0.0692651515151515,0.9609634938877412
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Fear,Fear->Fear,0.00066842411400839,0.0014306255050801804,0.00037130322820129994,0.00022608348316723636,0.002696436330457107,arcface_supcon_cnn,4,0.0616666666666666,0.9902724238119835
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Happy,Fear->Happy,0.0019851053521657974,0.0014261618112435652,0.00039932966977912195,0.0003835258136470136,0.004194122646835498,arcface_supcon_cnn,0,0.0715064758009543,0.9594884918357234
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Happy,Fear->Happy,0.0019851053521657974,0.0014261618112435652,0.00039932966977912195,0.0003835258136470136,0.004194122646835498,arcface_supcon_cnn,1,0.0763377641445126,0.9653693212806836
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Happy,Fear->Happy,0.0019851053521657974,0.0014261618112435652,0.00039932966977912195,0.0003835258136470136,0.004194122646835498,arcface_supcon_cnn,2,0.0668456032719836,0.9836382527264786
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Happy,Fear->Happy,0.0019851053521657974,0.0014261618112435652,0.00039932966977912195,0.0003835258136470136,0.004194122646835498,arcface_supcon_cnn,3,0.070961145194274,0.9594418436647484
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Happy,Fear->Happy,0.0019851053521657974,0.0014261618112435652,0.00039932966977912195,0.0003835258136470136,0.004194122646835498,arcface_supcon_cnn,4,0.0689843217450579,0.9876279806649492
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Neutral,Fear->Neutral,0.001077644699918372,0.0009010488311538386,0.0006515843043979702,0.0010331506793764197,0.0036634285148466005,arcface_supcon_cnn,0,0.0690873015873015,0.9607872075774756
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Neutral,Fear->Neutral,0.001077644699918372,0.0009010488311538386,0.0006515843043979702,0.0010331506793764197,0.0036634285148466005,arcface_supcon_cnn,1,0.0703492063492063,0.9693962400793652
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Neutral,Fear->Neutral,0.001077644699918372,0.0009010488311538386,0.0006515843043979702,0.0010331506793764197,0.0036634285148466005,arcface_supcon_cnn,2,0.0653730158730158,0.9828349400037792
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Neutral,Fear->Neutral,0.001077644699918372,0.0009010488311538386,0.0006515843043979702,0.0010331506793764197,0.0036634285148466005,arcface_supcon_cnn,3,0.0739126984126984,0.95980782643613
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Neutral,Fear->Neutral,0.001077644699918372,0.0009010488311538386,0.0006515843043979702,0.0010331506793764197,0.0036634285148466005,arcface_supcon_cnn,4,0.0605873015873015,0.989612150888133
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Sad,Fear->Sad,0.0014691034187784512,0.0007138544211297164,0.0003204759874192643,0.0006877820563940555,0.0031912158837214878,arcface_supcon_cnn,0,0.086094674556213,0.9406265677108864
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Sad,Fear->Sad,0.0014691034187784512,0.0007138544211297164,0.0003204759874192643,0.0006877820563940555,0.0031912158837214878,arcface_supcon_cnn,1,0.0869637573964497,0.9500350797393262
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Sad,Fear->Sad,0.0014691034187784512,0.0007138544211297164,0.0003204759874192643,0.0006877820563940555,0.0031912158837214878,arcface_supcon_cnn,2,0.0841037968441814,0.9594378979170496
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Sad,Fear->Sad,0.0014691034187784512,0.0007138544211297164,0.0003204759874192643,0.0006877820563940555,0.0031912158837214878,arcface_supcon_cnn,3,0.0896942800788954,0.9416914423113396
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Sad,Fear->Sad,0.0014691034187784512,0.0007138544211297164,0.0003204759874192643,0.0006877820563940555,0.0031912158837214878,arcface_supcon_cnn,4,0.0781866370808678,0.9703124242073616
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Happy,Disgust,Happy->Disgust,0.0007717071799561371,0.00021320249153567242,0.00036408770746285384,0.0006764506854649102,0.002025448064419574,arcface_supcon_cnn,0,0.0841316199376947,0.9466615853970598
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Happy,Disgust,Happy->Disgust,0.0007717071799561371,0.00021320249153567242,0.00036408770746285384,0.0006764506854649102,0.002025448064419574,arcface_supcon_cnn,1,0.0860202492211838,0.9548435397435092
