level,region,predictor,target,n,pearson_r,pearson_p,spearman_r,spearman_p,pearson_q_fdr,spearman_q_fdr
region,Occipital,beta_power_drift,EER,250,-0.12437507592593725,0.04949288643425186,-0.145915454445068,0.021003047759766413,0.20379423825868415,0.1470213343183649
region,Occipital,beta_power_drift,AUC,250,0.05149834835125568,0.41752775036547096,0.07569628260603843,0.23303509198212696,0.6256158115253921,0.4797781305514379
region,Occipital,gamma_power_drift,EER,250,-0.005853866803670751,0.9266228051444816,-0.0032570756875340266,0.9591335330759191,1.0,1.0
region,Occipital,gamma_power_drift,AUC,250,-0.028646141680864722,0.6521640548596982,-0.028998728114247526,0.6481683025992484,0.8827891543019414,0.924787153560318
region,Occipital,total_psd_drift,EER,250,0.10021818481643598,0.11396283202511306,0.06913604053727887,0.2761706496227409,0.2862054709469274,0.4956909095792785
region,Occipital,total_psd_drift,AUC,250,-0.07704659591900014,0.22478066244376038,-0.09231197768183112,0.14556545999038123,0.4146065528169886,0.3639136499759531
region,Other,theta_power_drift,EER,0,,,,,1.0,1.0
region,Other,theta_power_drift,AUC,0,,,,,1.0,1.0
region,Other,alpha_power_drift,EER,0,,,,,1.0,1.0
region,Other,alpha_power_drift,AUC,0,,,,,1.0,1.0
region,Other,beta_power_drift,EER,0,,,,,1.0,1.0
region,Other,beta_power_drift,AUC,0,,,,,1.0,1.0
region,Other,gamma_power_drift,EER,0,,,,,1.0,1.0
region,Other,gamma_power_drift,AUC,0,,,,,1.0,1.0
region,Other,total_psd_drift,EER,0,,,,,1.0,1.0
region,Other,total_psd_drift,AUC,0,,,,,1.0,1.0
